Author,Study_ID,Effectsize_ID,Case_ID,Year,Basin_ID,Basin,Region_ID,Region,Country_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rock_type_ID,Rock_type,RockP_ID,RockP_class,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_order,Hedley_totalsoilP_Bicarb_OH_Pt,Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_wind_kts,WMO_press_mb,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Pre_Mean,Pre_SD,S_size,PostMonth,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific
Ostertag et al,6,35,6.2,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,9,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,120,320,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2400,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,36,51.4,100,968,0.5,0-0.5,477,21.02,2.38,0.04,20,October,,
Ostertag et al,6,36,6.3,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,6,East Peak,Palm,6,Subtropical Lowermontane Wet,18.2662092,-65.7459155,800,4442,19.2,0.432,2,Basalt,3,High,4,HA Volcaniclastic,3,Inceptisol,,140,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2400,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,36,51.4,100,968,0.5,0-0.5,290,13.29,1.41,0.05,21,October,,
Ostertag et al,6,37,6.4,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,6,East Peak,Colorado,6,Subtropical Lowermontane Wet,18.2750278,-65.8487139,675,4735,19.9,0.42,2,Basalt,3,High,4,HA Volcaniclastic,7,Oxisol,170.2,317.3,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2400,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,36,51.4,100,968,0.5,0-0.5,710,31.75,2.36,0.04,20,October,,
Ostertag et al,6,38,6.5,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,6,East Peak,Short Cloud,5,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4097,18.5,0.452,6,Shale,3,High,13,Volcanic siltstone,3,Inceptisol,,260,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2400,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,36,51.4,100,968,0.5,0-0.5,280,12.83,0.82,0.05,21,October,,
Ostertag et al,6,39,6.6,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,6,East Peak,Tall Cloud,5,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4596,18.5,0.403,6,Shale,3,High,13,Volcanic siltstone,3,Inceptisol,,260,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2400,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,36,51.4,100,968,0.5,0-0.5,314,14.39,1.41,0.05,21,October,,
Lodge et al,9,40,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,9,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,Mass,g/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,110,946,0.3,0-0.5,377,140.87,1.29,0.77,41,September,0.99,0.03
Lodge et al,9,41,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,9,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,120,320,mg/kg,1,Ambient,Wood fall,Mass,g/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,110,946,0.3,0-0.5,575,480.23,0.55,0.32,41,September,0.24,0.14
Lodge et al,9,42,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,1,Ambient,Wood fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,0.3,0-0.5,319,640.31,0.4,0.26,41,September,1.64,0.41
Lodge et al,9,43,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,9,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,120,320,mg/kg,1,Ambient,Misc fall,Mass,g/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,110,946,0.3,0-0.5,131,689.35,0.54,2.87,3300,September,0.25,0.15
Lodge et al,9,44,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,9,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,120,320,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,110,946,0.3,0-0.5,1083,589.09,2.38,1.92,41,September,1.37,0.26
